日期,距離,光線
2022-11-08 11:01:26,28.512548640129353,154.86077186126045
2022-11-08 11:01:56,2.4762089784935597,159.74596971177334
2022-11-08 11:02:26,11.368788366895387,160.72300928187587
2022-11-08 11:02:56,28.50925336336877,156.8148510014655
2022-11-08 11:03:26,28.149825794092976,156.8148510014655
2022-11-08 11:03:56,28.287490205129867,159.74596971177334
2022-11-08 11:04:26,28.294509868137535,160.72300928187587
2022-11-08 11:04:56,28.33806958537571,156.8148510014655
2022-11-08 11:05:26,28.445853209415873,160.72300928187587
2022-11-08 11:05:56,28.398517672108937,155.83781143136298
2022-11-08 11:06:26,28.33721146006064,160.72300928187587
2022-11-08 11:06:56,28.039433390422346,160.72300928187587
2022-11-08 11:07:26,28.270189896771626,158.7689301416708
2022-11-08 11:07:56,28.28579106268444,161.7000488519784
2022-11-08 11:08:26,28.40340911440398,161.7000488519784
2022-11-08 11:08:56,28.234027471376976,154.86077186126045
2022-11-08 11:09:26,28.261059214893976,161.7000488519784
2022-11-08 11:09:56,28.325265982291963,161.7000488519784
2022-11-08 11:10:26,28.35579897200114,156.8148510014655
2022-11-08 11:10:56,28.36566767848853,158.7689301416708
2022-11-08 11:11:26,28.88119269757044,161.7000488519784
2022-11-08 11:11:56,29.909376552850514,155.83781143136298
2022-11-08 11:12:26,28.230320240143552,160.72300928187587
2022-11-08 11:12:56,28.3145562586742,155.83781143136298
2022-11-08 11:13:26,29.650404060703295,155.83781143136298
2022-11-08 11:13:56,29.68124596553571,156.8148510014655
2022-11-08 11:14:26,29.568107479686656,156.8148510014655
2022-11-08 11:14:56,29.503265648980232,161.7000488519784
2022-11-08 11:15:26,29.7724844764507,159.74596971177334
2022-11-08 11:15:56,29.683185371830405,155.83781143136298
2022-11-08 11:16:26,30.25431851600115,160.72300928187587
2022-11-08 11:16:56,28.73288724540907,161.7000488519784
2022-11-08 11:17:26,29.781718150848974,155.83781143136298
2022-11-08 11:17:56,28.388065382963756,162.67708842208117
2022-11-08 11:18:26,28.183705556823043,159.74596971177334
2022-11-08 11:18:56,28.31943056156524,158.7689301416708
2022-11-08 11:19:26,28.54953489642139,155.83781143136298
2022-11-08 11:19:56,28.248564558152793,161.7000488519784
2022-11-08 11:20:26,28.231092605999947,156.8148510014655
2022-11-08 11:20:56,28.206927076586,155.83781143136298
2022-11-08 11:21:26,28.171983234718933,161.7000488519784
2022-11-08 11:21:56,28.355043776768067,160.72300928187587
2022-11-08 11:22:26,28.00797359290482,155.83781143136298
2022-11-08 11:22:56,28.460905165136865,159.74596971177334
2022-11-08 11:23:26,28.52034065338375,156.8148510014655
2022-11-08 11:23:56,28.19964997910574,155.83781143136298
2022-11-08 11:24:26,28.27053318436083,157.79189057156805
2022-11-08 11:24:56,28.315654710277155,156.8148510014655
2022-11-08 11:25:26,28.180890823370646,159.74596971177334
2022-11-08 11:25:58,28.705958494412698,159.74596971177334
2022-11-08 11:30:15,28.384323841703008,159.74596971177334
2022-11-08 11:34:53,31.33792171317145,156.8148510014655
2022-11-08 11:35:28,31.706926213215407,159.74596971177334
2022-11-08 11:35:58,31.39323803132174,158.7689301416708
2022-11-08 11:36:28,29.321372178588717,156.8148510014655
2022-11-08 11:36:58,29.506646763247772,154.86077186126045
2022-11-08 11:37:28,31.69904836245405,157.79189057156805
2022-11-08 11:37:58,31.866542111056333,155.83781143136298
2022-11-08 11:38:28,32.29338591820306,157.79189057156805
2022-11-08 11:38:58,31.66724533978595,154.86077186126045
2022-11-08 11:39:28,39.43405205671115,155.83781143136298
2022-11-08 11:39:58,76.0508663100045,156.8148510014655
2022-11-08 11:42:40,75.52356748816783,160.72300928187587
